ID,Restaurant,Address,Time,Price,District
1449,Há Cảo Xíu Mại Dương Ký,"19 Ngô Gia Tự, P. 2, Quận 10, TP. HCM",06:45 - 21:30,2.500 - 20.000,Quận 10
1450,Bún Bò Huế Ba Nghị,"466 Nguyễn Tri Phương, P. 9, Quận 10, TP. HCM",,30.000 - 40.000,Quận 10
1451,Tân Hòa Ký - Hủ Tiếu Mì Gia - Nguyễn Tri Phương,"430 Đường Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",,30.000 - 60.000,Quận 10
1452,Tâm Quán - Bún Quậy Phú Quốc - Nguyễn Tri Phương,"210 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",,35.000 - 55.000,Quận 10
1453,Phong Lan Quán - Bún Cá Rô Đồng,"54 Cửu Long, P. 15, Quận 10, TP. HCM",06:00 - 21:00,32.000 - 48.000,Quận 10
1454,"Minh Khang - Bánh Canh, Bún Cá & Bún Sứa","15 Nguyễn Ngọc Lộc, P. 14, Quận 10, TP. HCM",06:00 - 20:00,20.000 - 40.000,Quận 10
1455,Bún Chả 1986,"30 Cửu Long, P. 15, Quận 10, TP. HCM",07:30 - 14:30 | 17:00 - 21:30,35.000 - 50.000,Quận 10
1456,Bia Tươi Sài Gòn - Chè Bưởi Lucy,"83/23G Hòa Hưng, P. 12, Quận 10, TP. HCM",08:00 - 22:00,15.000 - 25.000,Quận 10
1457,Gà Ta Sơn Ca - Hồ Bá Kiện,"83 Hồ Bá Kiện, P. 15, Quận 10, TP. HCM",06:35 - 21:30,15.000 - 110.000,Quận 10
1458,Kem Bơ - Trái Cây Tô 251 - Tô Hiến Thành,"163/9 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",00:00 - 02:30 | 08:00 - 23:59,10.000 - 25.000,Quận 10
1459,Cơm Tấm Phúc Lộc Thọ - Lý Thường Kiệt,"144 Lý Thường Kiệt, P. 14, Quận 10, TP. HCM",06:00 - 21:30,20.000 - 50.000,Quận 10
1460,Bánh Mì Xíu Mại Chấm 79 Đà Lạt- Thành Thái,"3/71/10 Thành Thái, Quận 10, TP. HCM",07:30 - 15:00,15.000 - 35.000,Quận 10
1461,Bò Kho Gánh - Chung Cư Ngô Gia Tự,"029 Lô H Chung Cư Ngô Gia Tự, P. 2, Quận 10, TP. HCM",07:00 - 21:30,25.000 - 25.000,Quận 10
1462,Ăn Uống Vặt Cường Ngân - Hòa Hưng,"228A Hòa Hưng, P. 13, Quận 10, TP. HCM",00:00 - 23:59,10.000 - 40.000,Quận 10
